year,city_id,n
2004,112,73
2004,114,130
2004,116,110
2004,117,143
2004,119,76
2004,121,362
2004,123,115
2004,127,438
2004,131,80
2004,134,97
2004,136,209
2004,140,134
2004,146,234
2004,147,275
2004,150,148
2004,151,289
2004,154,274
2004,157,64
2004,160,162
2004,163,138
2004,164,49
2004,165,56
2004,168,79
2004,169,91
2004,170,244
2004,174,47
2004,175,104
2004,179,116
2004,180,80
2004,183,77
2004,185,35
2004,189,11
2004,190,75
2004,192,108
2004,194,60
2004,196,36
2004,198,94
2004,199,72
2004,200,89
2004,203,94
2004,206,35
2004,209,121
2004,214,98
2004,215,210
2004,218,40
2004,219,57
2007,1,107
2007,3,16
2007,4,108
2007,6,71
2007,7,54
2007,8,213
2007,9,331
2007,12,75
2007,14,50
2007,16,104
2007,18,59
2007,23,123
2007,24,397
2007,26,380
2007,27,82
2007,28,102
2007,29,187
2007,30,392
2007,32,23
2007,34,78
2007,35,134
2007,38,93
2007,39,46
2007,41,33
2007,42,80
2007,45,295
2007,50,107
2007,51,83
2007,53,215
2007,55,50
2007,56,101
2007,57,106
2007,58,134
2007,59,62
2007,62,374
2007,63,274
2007,64,374
2007,68,148
2007,69,256
2007,70,111
2007,71,67
2007,73,177
2007,74,100
2007,76,47
2007,79,95
2007,83,15
2007,84,164
2007,85,46
2007,90,148
2007,91,148
2007,92,271
2007,93,51
2007,95,117
2007,96,635
2007,98,67
2007,99,55
2007,100,40
2007,106,533
2007,109,137
2007,110,113
2007,112,74
2007,114,186
2007,116,112
2007,117,139
2007,119,75
2007,121,370
2007,123,122
2007,127,440
2007,131,83
2007,134,96
2007,136,210
2007,140,142
2007,146,216
2007,147,283
2007,150,146
2007,151,285
2007,154,253
2007,157,70
2007,160,127
2007,163,142
2007,164,52
2007,165,59
2007,168,78
2007,169,74
2007,170,265
2007,174,56
2007,175,106
2007,179,123
2007,180,83
2007,183,78
2007,185,36
2007,189,12
2007,190,75
2007,192,99
2007,194,60
2007,196,36
2007,198,96
2007,199,73
2007,200,86
2007,203,94
2007,206,38
2007,209,118
2007,214,99
2007,215,215
2007,218,41
2007,219,62
2008,1,107
2008,3,16
2008,4,107
2008,6,74
2008,7,57
2008,8,221
2008,9,270
2008,12,76
2008,14,50
2008,16,104
2008,18,59
2008,23,125
2008,24,428
2008,26,381
2008,27,82
2008,28,102
2008,29,187
2008,30,399
2008,32,23
2008,34,78
2008,35,134
2008,38,94
2008,39,41
2008,41,33
2008,42,80
2008,45,297
2008,50,107
2008,51,83
2008,53,215
2008,55,50
2008,56,102
2008,57,107
2008,58,134
2008,59,62
2008,62,376
2008,63,280
2008,64,376
2008,68,148
2008,69,261
2008,70,111
2008,71,57
2008,73,179
2008,74,111
2008,76,47
2008,79,95
2008,83,15
2008,84,170
2008,85,46
2008,90,149
2008,91,149
2008,92,276
2008,93,51
2008,95,117
2008,96,636
2008,98,67
2008,99,55
2008,100,40
2008,106,541
2008,109,137
2008,110,113
2008,112,74
2008,114,197
2008,116,112
2008,117,139
2008,119,75
2008,121,370
2008,123,41
2008,127,439
2008,131,83
2008,134,96
2008,136,211
2008,140,142
2008,146,242
2008,147,283
2008,150,157
2008,151,288
2008,154,279
2008,157,70
2008,160,163
2008,163,142
2008,164,52
2008,165,59
2008,168,78
2008,169,97
2008,170,41
2008,174,55
2008,175,105
2008,179,123
2008,180,88
2008,183,77
2008,185,36
2008,189,14
2008,190,75
2008,192,99
2008,194,60
2008,196,36
2008,198,96
2008,199,72
2008,200,87
2008,203,95
2008,206,38
2008,209,119
