mayorid,regionid.ch,city_id,city_id_year,year.x,cancel.year,prior.treat.cities.region,treatment.group,ur.totals,vote.totals,ur.voteshare,turnout,intercept.ns,nonstandard.coef,intercept.turnout,PositionCity,city_id.y,year.y,regionid,naive_counter,dumamargin,cancel,margin,margin.most.recent,naive_counter2,naive_counter3,dem,growth_1,pressfreedom,regelect_margin,regmarginXmargin,regmarginXmarginextended,URshare,UR_majority,gov_good,twoyrdum1,twoyrdum2,twoyrdum3,twoyrdum4,twoyrdum5,twoyrdum6,twoyrdum7,poppopprop,criminalpast,civsoc91,kprf99,education,pctRussian2002_new,lnAvgSalary,marginXdem,govgoodXmargin,opp_mayor1,introduce,mayorbefore,cancel_withouttwo,resource_grp,unempchg_1,unemployrate,diff_unemp,AvgSalary_demeaned_chg,marginXoppmayor,marginXmayorbefore,marginXduma,treat.group.07,treat.group.08,treat.group.11,treat.group.12,posttreat.07,posttreat.08,posttreat.11,posttreat.12,presidential,urgov,comp.scale2,comp.scale03_18,xconst.lag,pensioners.per.1000,ethnic.categorical,putin.app.3mo,govemploy.by.pop,mayor.cancel.year,elections.kept,elections.canceled,treat.appoint.newmayor,treat.appoint.oldmayor,mayor.start.year,mayor.tenure
403,73,132,132_2011,2011,2005,0,1,19061,56807,0.335539634,0.495804596,0.1989,0.1216,-0.0927,Seversk,132,2011,77,2,0.080934502,NA,NA,0.747,4,8,29,NA,somewhat free,0.197351381,NA,NA,0.423076928,0,0.36,0,0,0,0,0,0,1,0.104693539,0,3,16.5,29.70000076,0.908400178,NA,NA,NA,NA,0,0,NA,29.7,-0.799999714,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,0,0,1,-0.169399054,0.043505895,4,261.5,Non-ethnic,0.67,12.963138,0,0,1,1,0,2011,0
403,73,132,132_2012,2012,2005,0,1,33158,62656,0.529207099,0.60934511,0.3451,0.2396,-0.0487,Seversk,132,2012,77,3,0.080934502,NA,NA,0.747,9,27,29,NA,somewhat free,0.197351381,NA,NA,0.423076928,0,NA,0,0,0,0,0,0,1,0.104693539,0,3,16.5,29.70000076,0.908400178,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,1,1,1,0.779435405,0.157455649,4,261.5,Non-ethnic,0.64,12.963138,0,0,1,1,0,2011,1
454,73,147,147_2003,2003,NA,0,0,60047,200895,0.298897434,0.552666315,0.1506,0.6927,-0.1196,Tomsk,147,2003,77,7,0.150349915,0,0.140000001,0.140000001,49,343,27,109.1999969,somewhat free,NA,NA,NA,NA,NA,0.58,0,0,1,0,0,0,0,0.468294948,0,3,16.5,22.60000038,0.908400178,8.872767448,3.779999971,0.081200004,NA,NA,0,0,27.2857151,1.199999809,0.867628336,0.028398395,1122.658203,NA,0,0.021048987,0,0,0,0,0,0,0,0,0,0,-0.76902234,-0.120097942,5,240.2,Non-ethnic,0.76,11.00480307,0,1,0,0,0,2003,0
454,73,147,147_2004,2004,NA,0,0,167640,250393,0.669507534,0.791388728,0.4032,0.6946,-0.0737,Tomsk,147,2004,77,8,0.150349915,0,0.140000001,0.140000001,64,512,27,111.8000031,somewhat free,NA,NA,NA,NA,NA,0.61,0,0,1,0,0,0,0,0.46926254,0,3,16.5,30.5,0.908400178,9.067508698,3.779999971,0.0854,NA,NA,0,0,27.2857151,2.699999809,0.724680185,-0.142948151,401.0537109,NA,0,0.021048987,0,0,0,0,0,0,0,0,1,0,-0.76902234,-0.120097942,5,240.2,Non-ethnic,0.82,11.00480307,0,1,0,0,0,2003,1
NA,73,147,147_2007,2007,NA,1,0,112819,214625,0.525656377,0.791390164,0.2708,0.8179,-0.1258,Tomsk,147,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,0,NA,NA,NA,0.271446526,-0.159072548,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,-0.76902234,-0.120097942,4,250.2,Non-ethnic,0.82,13.76120858,0,1,0,0,0,2003,4
455,73,147,147_2008,2008,NA,1,0,136955,224241,0.610749149,0.792456658,0.316,0.7138,-0.0964,Tomsk,147,2008,77,1,0.375847578,0,NA,NA,1,1,29,104,somewhat free,NA,NA,NA,NA,0,0.595,0,0,0,0,1,0,0,0.503095746,0,3,16.5,18.60000038,0.908400178,9.905086517,NA,NA,NA,NA,0,0,27.4,-2.099999905,0.393632203,0.122185677,NA,NA,NA,NA,0,0,0,0,1,1,0,0,1,1,-0.169399054,0.043505895,4,250.2,Non-ethnic,0.86,13.76120858,0,1,0,0,0,2008,0
455,73,147,147_2011,2011,NA,1,0,63060,204017,0.309091889,0.501077396,0.137,0.7573,-0.078,Tomsk,147,2011,77,4,0.035696983,0,0.057799987,0.057799987,16,64,29,NA,somewhat free,0.033818692,0.00195472,0.000112983,0.820046663,1,0.36,0,0,0,0,0,0,1,0.538390815,0,3,16.5,29.70000076,0.908400178,10.19507408,1.676199675,0.020807996,0,NA,0,0,29.7,-0.799999714,0.662233353,-0.190452158,94.96875,0,0,0.002063285,0,0,0,0,1,1,1,0,0,1,-0.169399054,0.043505895,4,261.5,Non-ethnic,0.67,12.963138,0,1,0,0,0,2008,3
455,73,147,147_2012,2012,NA,1,0,128346,243805,0.526428908,0.478857265,0.2863,0.605,0.0391,Tomsk,147,2012,77,5,0.035696983,0,0.057799987,0.057799987,25,125,29,NA,somewhat free,0.033818692,0.00195472,0.000112983,0.820046663,1,NA,0,0,0,0,0,0,1,0.538390815,0,3,16.5,29.70000076,0.908400178,10.32357883,1.676199675,NA,0,NA,0,0,NA,NA,0.535959601,-0.126273751,-43.78515625,0,0,0.002063285,0,0,0,0,1,1,1,1,1,1,0.779435405,0.157455649,4,261.5,Non-ethnic,0.64,12.963138,0,1,0,0,0,2008,4
275,74,94,94_2003,2003,2005,0,1,19744,68536,0.288082176,0.089801982,0.1595,0.0274,0.1084,Novomoskovsk,94,2003,16,7,0.157008886,0,0.693900049,0.693900049,49,343,26,102.0999985,somewhat not free,NA,NA,NA,NA,NA,0.21,0,0,1,0,0,0,0,0.079466745,0,2,29,18.10000038,0.952144623,8.427705765,18.04140091,0.145719007,NA,NA,1,0,0.328571439,0.899999619,0.982109368,-0.051294863,-210.3417969,NA,0.693900049,0.108948477,1,0,0,0,0,0,0,0,0,0,0.378454004,0.077245207,5,348.4,Non-ethnic,0.76,8.875379939,0,0,1,0,0,2003,0
275,74,94,94_2004,2004,2005,0,1,48743,71098,0.68557484,0.811870699,0.4016,0.2963,-0.0674,Novomoskovsk,94,2004,16,8,0.157008886,0,0.693900049,0.693900049,64,512,26,104.5,somewhat not free,0.021723315,0.01507381,0.010459717,NA,NA,0.14,0,0,1,0,0,0,0,0.079468332,0,2,29,18.5,0.952144623,8.630521774,18.04140091,0.097146004,NA,NA,1,0,0.328571439,-0.899999619,0.923993647,-0.058115721,-104.9462891,NA,0.693900049,0.108948477,1,0,0,0,0,0,0,0,1,0,0.378454004,0.077245207,5,348.4,Non-ethnic,0.82,8.875379939,0,0,1,0,0,2003,1
