"","Year","Month","Day","Country","dengue_cases"
"210",2003,6,29,"Indonesia",47
"211",2003,6,29,"Mexico",71
"212",2003,6,29,"Philippines",58
"213",2003,6,29,"Singapore",132
"214",2003,6,29,"Venezuela",172
"215",2003,7,6,"Argentina",34
"216",2003,7,6,"Bolivia",29
"217",2003,7,6,"Brazil",18
"218",2003,7,6,"India",195
"219",2003,7,6,"Indonesia",1
"220",2003,7,6,"Mexico",86
"221",2003,7,6,"Philippines",56
"222",2003,7,6,"Singapore",12
"223",2003,7,6,"Venezuela",159
"224",2003,7,13,"Argentina",36
"225",2003,7,13,"Bolivia",23
"226",2003,7,13,"Brazil",15
"227",2003,7,13,"India",174
"228",2003,7,13,"Indonesia",73
"229",2003,7,13,"Mexico",72
"230",2003,7,13,"Philippines",57
"231",2003,7,13,"Singapore",129
"232",2003,7,13,"Venezuela",161
"233",2003,7,20,"Argentina",29
"234",2003,7,20,"Bolivia",21
"235",2003,7,20,"Brazil",52
"236",2003,7,20,"India",187
"237",2003,7,20,"Indonesia",47
"238",2003,7,20,"Mexico",65
"239",2003,7,20,"Philippines",64
"240",2003,7,20,"Singapore",128
"241",2003,7,20,"Venezuela",163
"242",2003,7,27,"Argentina",27
"243",2003,7,27,"Bolivia",18
"244",2003,7,27,"Brazil",13
"245",2003,7,27,"India",18
"246",2003,7,27,"Indonesia",49
"247",2003,7,27,"Mexico",68
"248",2003,7,27,"Philippines",64
"249",2003,7,27,"Singapore",123
"250",2003,7,27,"Venezuela",153
"251",2003,8,3,"Argentina",24
"252",2003,8,3,"Bolivia",16
"253",2003,8,3,"Brazil",44
"254",2003,8,3,"India",116
"255",2003,8,3,"Indonesia",39
"256",2003,8,3,"Mexico",95
"257",2003,8,3,"Philippines",81
"258",2003,8,3,"Singapore",112
"259",2003,8,3,"Venezuela",151
"260",2003,8,10,"Argentina",22
"261",2003,8,10,"Bolivia",19
"262",2003,8,10,"Brazil",36
"263",2003,8,10,"India",101
"264",2003,8,10,"Indonesia",39
"265",2003,8,10,"Mexico",92
"266",2003,8,10,"Philippines",91
"267",2003,8,10,"Singapore",131
"268",2003,8,10,"Venezuela",15
"269",2003,8,17,"Argentina",22
"270",2003,8,17,"Bolivia",22
"271",2003,8,17,"Brazil",32
"272",2003,8,17,"India",1
"273",2003,8,17,"Indonesia",39
"274",2003,8,17,"Mexico",89
"275",2003,8,17,"Philippines",134
"276",2003,8,17,"Singapore",127
"277",2003,8,17,"Venezuela",146
"278",2003,8,24,"Argentina",19
"279",2003,8,24,"Bolivia",18
"280",2003,8,24,"Brazil",34
"281",2003,8,24,"India",103
"282",2003,8,24,"Indonesia",64
"283",2003,8,24,"Mexico",63
"284",2003,8,24,"Philippines",163
"285",2003,8,24,"Singapore",116
"286",2003,8,24,"Venezuela",152
"287",2003,8,31,"Argentina",19
"288",2003,8,31,"Bolivia",18
"289",2003,8,31,"Brazil",11
"290",2003,8,31,"India",135
"291",2003,8,31,"Indonesia",55
"292",2003,8,31,"Mexico",84
"293",2003,8,31,"Philippines",152
"294",2003,8,31,"Singapore",111
"295",2003,8,31,"Venezuela",159
"296",2003,9,7,"Argentina",19
"297",2003,9,7,"Bolivia",19
"298",2003,9,7,"Brazil",18
"299",2003,9,7,"India",143
"300",2003,9,7,"Indonesia",47
"301",2003,9,7,"Mexico",137
"302",2003,9,7,"Philippines",149
"303",2003,9,7,"Singapore",109
"304",2003,9,7,"Venezuela",166
"305",2003,9,14,"Argentina",19
"306",2003,9,14,"Bolivia",31
"307",2003,9,14,"Brazil",34
"308",2003,9,14,"India",196
"309",2003,9,14,"Indonesia",47
"310",2003,9,14,"Mexico",165
"311",2003,9,14,"Philippines",147
"312",2003,9,14,"Singapore",113
"313",2003,9,14,"Venezuela",175
"314",2003,9,21,"Argentina",19
"315",2003,9,21,"Bolivia",41
"316",2003,9,21,"Brazil",15
"317",2003,9,21,"India",242
"318",2003,9,21,"Indonesia",63
"319",2003,9,21,"Mexico",124
"320",2003,9,21,"Philippines",137
"321",2003,9,21,"Singapore",123
"322",2003,9,21,"Venezuela",162
"323",2003,9,28,"Argentina",19
"324",2003,9,28,"Bolivia",49
"325",2003,9,28,"Brazil",16
"326",2003,9,28,"India",292
"327",2003,9,28,"Indonesia",54
"328",2003,9,28,"Mexico",188
"329",2003,9,28,"Philippines",123
"330",2003,9,28,"Singapore",12
"331",2003,9,28,"Venezuela",166
"332",2003,10,5,"Argentina",19
"333",2003,10,5,"Bolivia",35
"334",2003,10,5,"Brazil",2
"335",2003,10,5,"India",565
"336",2003,10,5,"Indonesia",69
"337",2003,10,5,"Mexico",182
"338",2003,10,5,"Philippines",141
"339",2003,10,5,"Singapore",108
"340",2003,10,5,"Venezuela",16
"341",2003,10,12,"Argentina",19
"342",2003,10,12,"Bolivia",44
"343",2003,10,12,"Brazil",41
"344",2003,10,12,"India",928
"345",2003,10,12,"Indonesia",75
"346",2003,10,12,"Mexico",16
"347",2003,10,12,"Philippines",123
"348",2003,10,12,"Singapore",108
"349",2003,10,12,"Venezuela",192
"350",2003,10,19,"Argentina",22
